GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US36061009800,36061009800,"Census Tract 98, New York County, New York",1360,313,0,16,0,16,0,16,15,26,0,16,0,16,0,16,0,16,28,45,28,45,57,89,50,69,83,121,121,102,133,139,845,253
1400000US36061009900,36061009900,"Census Tract 99, New York County, New York",827,151,13,21,0,16,0,16,43,46,28,27,0,16,27,30,23,27,0,16,44,40,11,18,55,62,15,17,40,44,76,39,452,116
1400000US36061010000,36061010000,"Census Tract 100, New York County, New York",238,84,10,15,0,11,0,11,0,11,9,16,0,11,0,11,0,11,0,11,22,13,0,11,0,11,19,21,23,25,9,14,146,74
1400000US36061010100,36061010100,"Census Tract 101, New York County, New York",158,33,0,11,0,11,6,9,0,11,11,16,6,8,13,15,0,11,0,11,4,5,0,11,0,11,26,17,4,6,22,21,66,27
1400000US36061010200,36061010200,"Census Tract 102, New York County, New York",30,27,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,10,4,6,15,24,5,8
1400000US36061010300,36061010300,"Census Tract 103, New York County, New York",206,76,13,19,11,18,0,11,6,9,17,17,0,11,7,10,11,17,0,11,11,17,0,11,9,15,0,11,20,25,20,22,81,56
1400000US36061010400,36061010400,"Census Tract 104, New York County, New York",150,45,8,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,13,5,9,16,16,14,12,12,16,33,29,52,29
1400000US36061010601,36061010601,"Census Tract 106.01, New York County, New York",1689,394,0,16,0,16,20,32,0,16,0,16,0,16,118,176,23,38,22,36,55,64,60,69,0,16,120,95,92,92,108,80,1071,308
1400000US36061010602,36061010602,"Census Tract 106.02, New York County, New York",1123,194,0,11,0,11,0,11,0,11,0,11,29,34,29,36,15,24,0,11,53,72,74,50,89,49,94,55,67,55,142,83,531,152
1400000US36061010800,36061010800,"Census Tract 108, New York County, New York",1851,341,16,29,0,16,0,16,0,16,0,16,0,16,23,37,0,16,0,16,48,55,116,93,64,75,205,159,112,117,224,166,1043,247
1400000US36061010900,36061010900,"Census Tract 109, New York County, New York",32,24,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,7,9,14,18,17
