GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US36047052700,36047052700,"Census Tract 527, Kings County, New York",1590,210,177,122,83,83,70,82,132,107,124,91,66,69,107,92,15,24,71,68,104,84,233,133,238,123,38,42,93,94,0,16,39,37
1400000US36047052800,36047052800,"Census Tract 528, Kings County, New York",461,70,15,23,0,11,0,11,18,18,7,9,13,14,11,13,36,31,10,12,33,24,29,23,32,21,59,33,35,19,73,42,90,42
1400000US36047052900,36047052900,"Census Tract 529, Kings County, New York",811,81,52,42,133,67,40,29,50,44,36,29,75,45,55,50,37,37,16,18,74,60,91,65,31,31,62,47,19,22,0,11,40,37
1400000US36047053000,36047053000,"Census Tract 530, Kings County, New York",737,99,7,11,9,14,54,44,42,39,95,49,52,33,38,36,48,36,13,17,53,33,70,40,63,44,43,33,59,44,40,31,51,41
1400000US36047053100,36047053100,"Census Tract 531, Kings County, New York",1431,116,65,60,165,88,303,112,121,86,54,42,51,40,87,66,78,70,53,41,60,57,159,95,39,33,40,38,37,41,7,12,112,91
1400000US36047053200,36047053200,"Census Tract 532, Kings County, New York",649,57,11,15,38,30,12,12,19,17,44,39,28,22,12,15,40,32,37,40,21,18,36,21,99,52,91,40,32,26,64,32,65,35
1400000US36047053300,36047053300,"Census Tract 533, Kings County, New York",1489,131,215,95,158,74,213,115,98,67,77,58,160,82,44,42,30,32,24,27,138,77,118,74,99,57,23,26,22,36,12,18,58,49
1400000US36047053400,36047053400,"Census Tract 534, Kings County, New York",933,117,84,74,14,17,70,59,169,81,28,43,92,68,73,55,20,23,4,11,35,36,56,42,110,59,71,51,40,48,35,32,32,33
1400000US36047053500,36047053500,"Census Tract 535, Kings County, New York",882,100,20,32,251,90,76,40,97,49,55,51,80,62,76,67,41,34,2,5,35,40,69,50,41,37,21,33,18,29,0,11,0,11
1400000US36047053700,36047053700,"Census Tract 537, Kings County, New York",622,40,45,27,67,39,26,24,70,42,61,43,63,47,45,33,21,15,16,19,59,39,42,27,68,47,31,28,0,11,8,12,0,11
1400000US36047053800,36047053800,"Census Tract 538, Kings County, New York",985,159,104,92,113,62,32,52,62,63,64,89,32,36,26,32,62,54,17,29,88,78,150,82,96,70,82,64,26,31,15,26,16,26
1400000US36047053900,36047053900,"Census Tract 539, Kings County, New York",676,58,58,36,114,39,67,30,55,46,41,29,44,26,4,8,32,27,21,28,37,38,62,42,36,31,51,32,13,13,30,32,11,13
1400000US36047054200,36047054200,"Census Tract 542, Kings County, New York",1053,123,8,12,83,58,21,33,90,61,95,82,54,45,59,40,32,32,28,26,84,58,40,41,120,65,122,78,70,45,47,37,100,55
1400000US36047054300,36047054300,"Census Tract 543, Kings County, New York",99,43,0,11,0,11,0,11,0,11,13,20,0,11,5,7,0,11,0,11,4,6,0,11,16,20,17,22,10,10,8,9,26,28
1400000US36047054400,36047054400,"Census Tract 544, Kings County, New York",810,109,0,11,108,75,92,75,35,45,33,26,18,20,42,42,28,26,34,40,47,51,77,49,72,49,80,53,65,33,16,18,63,36
1400000US36047054500,36047054500,"Census Tract 545, Kings County, New York",1837,202,254,147,223,111,317,118,118,66,169,98,119,94,40,55,21,36,56,69,82,67,172,115,176,115,0,16,0,16,0,16,90,90
1400000US36047054600,36047054600,"Census Tract 546, Kings County, New York",1168,116,65,43,94,50,36,33,56,38,90,56,37,47,30,31,50,46,44,37,84,45,195,93,99,53,98,58,68,58,41,30,81,55
1400000US36047054700,36047054700,"Census Tract 547, Kings County, New York",869,115,112,69,63,45,25,25,74,49,94,63,69,39,52,42,14,21,21,22,48,46,68,62,34,39,97,67,33,30,35,40,30,27
1400000US36047054800,36047054800,"Census Tract 548, Kings County, New York",502,58,14,21,20,17,15,20,18,22,10,11,12,13,21,25,22,23,19,23,13,14,53,43,67,46,38,32,51,37,33,19,96,37
1400000US36047054900,36047054900,"Census Tract 549, Kings County, New York",779,128,81,56,47,48,22,23,29,35,20,23,15,22,41,42,18,23,20,30,32,29,50,47,87,54,41,33,43,33,69,44,164,74
1400000US36047055000,36047055000,"Census Tract 550, Kings County, New York",869,115,0,11,41,26,41,39,44,41,4,8,24,28,40,39,12,17,25,29,117,72,145,83,107,61,150,72,56,48,29,28,34,32
1400000US36047055100,36047055100,"Census Tract 551, Kings County, New York",1085,155,0,16,0,16,0,16,15,29,35,48,80,75,29,48,55,67,0,16,162,92,116,110,165,93,52,66,115,75,65,62,196,114
1400000US36047055200,36047055200,"Census Tract 552, Kings County, New York",831,100,18,29,42,34,6,10,40,37,55,53,0,11,36,31,62,54,87,67,11,16,114,72,123,60,54,44,26,23,89,53,68,44
1400000US36047055300,36047055300,"Census Tract 553, Kings County, New York",491,94,0,11,10,17,0,11,22,19,33,28,0,11,12,20,0,11,16,24,10,16,69,48,47,44,61,37,40,31,75,46,96,50
1400000US36047055400,36047055400,"Census Tract 554, Kings County, New York",1045,136,64,48,73,59,49,46,31,27,18,20,66,51,58,57,107,77,16,19,76,64,108,65,77,59,113,60,37,38,132,78,20,24
1400000US36047055500,36047055500,"Census Tract 555, Kings County, New York",1504,156,0,16,23,27,12,19,18,20,0,16,18,23,46,35,85,69,40,49,13,20,165,90,39,31,121,56,213,98,167,69,544,123
1400000US36047055600,36047055600,"Census Tract 556, Kings County, New York",857,97,11,13,13,16,32,28,29,26,75,46,41,29,43,36,16,17,38,34,40,29,43,46,103,52,141,70,23,29,129,78,80,59
1400000US36047055700,36047055700,"Census Tract 557, Kings County, New York",371,94,0,11,8,14,0,11,0,11,8,13,7,11,34,42,16,26,18,19,10,15,10,15,27,33,35,24,33,40,30,36,135,59
1400000US36047055800,36047055800,"Census Tract 558, Kings County, New York",569,89,9,10,22,24,33,38,38,31,46,28,9,13,0,11,6,10,41,30,45,26,57,31,79,41,42,25,19,21,53,39,70,33
