GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US17031040100,17031040100,"Census Tract 401, Cook County, Illinois",816,136,41,47,0,11,36,42,72,63,26,41,65,58,66,44,0,11,45,46,52,34,39,28,93,44,58,35,50,38,76,40,97,56
1400000US17031040201,17031040201,"Census Tract 402.01, Cook County, Illinois",1371,199,81,80,35,42,39,46,128,99,16,29,67,60,17,30,107,95,10,18,48,47,161,97,87,53,176,104,65,52,116,78,218,108
1400000US17031040202,17031040202,"Census Tract 402.02, Cook County, Illinois",1570,250,198,92,85,68,63,54,32,36,161,128,0,16,40,41,96,69,71,56,100,58,110,99,247,114,41,39,142,94,153,95,31,31
1400000US17031040300,17031040300,"Census Tract 403, Cook County, Illinois",669,105,30,29,8,12,6,12,0,11,42,50,39,32,0,11,22,29,11,18,35,28,85,67,65,50,83,62,86,52,78,47,79,47
1400000US17031040401,17031040401,"Census Tract 404.01, Cook County, Illinois",621,95,0,11,51,54,0,11,0,11,14,23,46,55,37,35,44,50,8,12,11,17,19,22,78,49,99,59,42,59,65,39,107,56
1400000US17031040402,17031040402,"Census Tract 404.02, Cook County, Illinois",806,165,53,69,0,11,49,56,0,11,13,21,50,64,39,63,31,36,76,69,70,72,54,44,64,47,53,42,55,44,52,45,147,82
1400000US17031040600,17031040600,"Census Tract 406, Cook County, Illinois",549,112,0,11,30,27,0,11,32,52,11,18,0,11,0,11,20,27,0,11,19,21,91,66,59,44,55,47,44,33,72,59,116,64
1400000US17031040700,17031040700,"Census Tract 407, Cook County, Illinois",733,127,0,11,17,27,0,11,52,49,41,26,9,14,0,11,34,29,38,43,80,61,19,20,80,34,130,60,73,39,54,31,106,54
1400000US17031040800,17031040800,"Census Tract 408, Cook County, Illinois",401,71,0,11,0,11,25,25,3,6,5,8,13,14,13,14,0,11,14,21,50,54,8,13,109,46,67,32,12,13,33,27,49,29
1400000US17031040900,17031040900,"Census Tract 409, Cook County, Illinois",452,85,4,9,0,11,14,17,20,21,8,13,17,17,6,10,34,39,13,19,39,51,22,22,50,36,40,25,50,39,32,35,103,63
1400000US17031050100,17031050100,"Census Tract 501, Cook County, Illinois",493,93,0,11,0,11,7,12,15,17,9,14,0,11,19,23,8,12,6,11,49,49,13,16,56,52,100,63,6,13,60,43,145,65
1400000US17031050200,17031050200,"Census Tract 502, Cook County, Illinois",1082,163,0,16,0,16,18,26,26,30,102,93,52,66,0,16,50,59,24,27,25,27,99,57,69,48,84,56,103,60,81,52,349,96
1400000US17031050300,17031050300,"Census Tract 503, Cook County, Illinois",504,92,6,10,0,11,8,12,8,12,23,25,8,12,10,16,15,19,7,11,0,11,17,19,35,22,106,51,57,40,122,59,82,50
